spikerate ITI cue push reward
0.233074645620945 1 0 0 0
0.379334573153756 1 0 0 0
0.574096287891734 1 0 0 0
0.799068642663769 1 0 0 0
1.41856695699971 1 0 0 0
1.87505476060323 1 0 0 0
1.99664122192189 1 0 0 0
2.32716067694128 1 0 0 0
2.49775697011501 1 0 0 0
2.63721382361837 1 0 0 0
2.3204249155242 0 1 0 0
2.49050391721539 0 0 0 0
2.196884539444 0 0 0 0
2.24689126480371 0 0 0 0
2.13291170075536 0 0 0 0
1.94805429782718 0 0 0 0
2.1468349150382 0 0 0 0
1.68043977464549 0 0 0 0
1.4836081827525 0 0 0 0
1.58253668632824 0 0 0 0
1.88916514161974 0 0 0 0
2.30913268751465 0 0 0 0
2.87311788997613 0 0 0 0
3.00815879018046 0 0 0 0
2.74181025451981 0 0 0 0
2.68029031576589 0 0 0 0
2.26977153215557 0 0 0 0
2.56209797225893 0 0 0 0
3.74923797789961 0 0 0 0
6.81591662578285 0 0 0 0
9.73468122538179 0 0 0 0
10.1887026103213 0 0 0 0
8.57086991891265 0 0 0 0
6.36108207982033 0 0 0 0
4.41580871120095 0 0 0 0
3.47649253671989 0 0 0 0
2.07890599267557 0 0 0 0
1.19855941738933 0 0 0 0
0.58638409973355 0 0 0 0
0.312665109959198 0 0 0 0
0.124329324535211 0 0 0 0
0.0556520153622841 0 0 0 0
0.0240775761994882 0 0 0 0
0.0423060264438391 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0.0741332787583815 0 0 0 0
0.181433743819071 0 0 0 0
0.0992425252661633 0 0 0 0
0.113210127892671 0 0 0 0
0.0395986280636862 0 0 0 0
0.187217053394306 0 0 0 0
0.0269216030801545 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0.0120828444778454 0 0 0 0
0 0 0 0 0
0.00716895010555163 0 0 0 0
0.06985017171246 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0.0283042427327018 0 0 0 0
0.0577596510993317 0 0 0 0
0.309673038827896 0 0 0 0
0.021365653083194 0 0 0 0
0.455709165180451 0 0 0 0
0.325726383380243 0 0 0 0
0.315626623319076 0 0 0 0
0.175393828612869 0 0 0 0
0.328013444573116 0 0 0 0
0.0825777169666253 0 0 0 0
0.0955897867243038 0 0 0 0
0.0515137785441766 0 0 0 0
0.0996794069578755 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
0.087845275629661 0 0 0 1
0 0 0 0 1
0.0933151954995992 0 0 0 1
0 0 0 0 1
0.0513560189574491 0 0 0 1
0 0 0 0 1
6.81247911415994e-05 0 0 0 1
0 0 0 0 1
0.126218630612129 0 0 0 1
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
0 0 0 0 1
